"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"PHG010","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHG010","875-010007","GEAR","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHG010
OEM Part #875-010007
GEAR
10 per package
Plastic
1/4"" ID, 12 Teeth
Fits: Developer, Fixer and Washer/Dryer Transport Module
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-701
Part Description Updated: 10/30/2000","10 per package
Plastic
1/4"" ID, 12 Teeth","http://www.rpiparts.com/pimages/PHG010.GIF",""
"PHG011","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHG011","875-020007","GEAR","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHG011
OEM Part #875-020007
GEAR
2 per package
Plastic
3/16"" ID, 27 Teeth
Fits: Developer and Fixer Transport Module
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module
Catalog Page(s): 4-701
Part Description Updated: 10/30/2000","2 per package
Plastic
3/16"" ID, 27 Teeth","http://www.rpiparts.com/pimages/PHG011.GIF",""
"PHG012","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHG012","875-030007","GEAR","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHG012
OEM Part #875-030007
GEAR
Stainless steel
1/4"" ID, 12 Teeth
Fits: Large Knurl Pin (RPI Part #PHP019), Gear with Drilled Shaft and Ingress Plastic Roller Assembly (RPI Part #PHR025) (Developer, Fixer and Washer/Dryer Transport Module)
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-701
Part Description Updated: 10/30/2000","Stainless steel
1/4"" ID, 12 Teeth","http://www.rpiparts.com/pimages/PHG012.GIF",""
"PHH007","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHH007","874-070007","HANGER ASSEMBLY","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHH007
OEM Part #874-070007
HANGER ASSEMBLY
Plastic
Includes plastic spreader, (2) plastic hanger, and (2) 1/4-20 x 1-1/2"" Allen head screw
Fits: Developer, Fixer andWasher/Dryer Transport Module
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-702
Part Description Updated: 10/30/2000","Plastic
Includes plastic spreader, (2) plastic hanger, and (2) 1/4-20 x 1-1/2"" Allen head screw","http://www.rpiparts.com/pimages/PHH007.GIF",""
"PHP016","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHP016","874-026393","SHORT DOUBLE KNURL PIN","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHP016
OEM Part #874-026393
SHORT DOUBLE KNURL PIN
5 per package
Stainless steel
3/16"" Dia. x 1-1/16"" Lg.
Fits: Short Pin Plastic Roller (Developer, Fixer and Washer/Dryer Transport Module)
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-700
Part Description Updated: 10/30/2000","5 per package
Stainless steel
3/16"" Dia. x 1-1/16"" Lg.","http://www.rpiparts.com/pimages/PHP016.GIF",""
"PHP017","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHP017","874-026883","LONG DOUBLE KNURL PIN","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHP017
OEM Part #874-026883
LONG DOUBLE KNURL PIN
5 per package
Stainless steel
3/16"" Dia. x 1-1/2"" Lg.
Fits: Long Pin Plastic Roller (Developer, Fixer and Washer/Dryer Transport Module)
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-700
Part Description Updated: 10/30/2000","5 per package
Stainless steel
3/16"" Dia. x 1-1/2"" Lg.","http://www.rpiparts.com/pimages/PHP017.GIF",""
"PHP018","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHP018","874-026754","SHORT MIDDLE KNURL PIN","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHP018
OEM Part #874-026754
SHORT MIDDLE KNURL PIN
5 per package
Stainless steel
3/16"" Dia. x 1-1/16"" Lg.
Fits: Short Pin Plastic RollerLong Pin Plastic Roller, Ingress Plastic Roller, and Ingress Plastic Roller Assembly (Developer, Fixer and Washer/Dryer Transport Module)
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-700
Part Description Updated: 10/30/2000","5 per package
Stainless steel
3/16"" Dia. x 1-1/16"" Lg.","http://www.rpiparts.com/pimages/PHP018.GIF",""
"PHP019","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHP019","(OEM Part # Not Available)","LARGE KNURL PIN","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHP019
OEM Part # (OEM Part # Not Available)
LARGE KNURL PIN
5 per package
Stainless steel
1/4"" Dia. x 1-5/16"" Lg.
Fits: Large Knurl Pin, Ingress Drive Shaft Assembly, Gear with Drilled Shaft, and Ingress Plastic Roller Assembly (Developer, Fixer and Washer/Dryer Transport Module)
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-700
Part Description Updated: 6/25/2014","5 per package
Stainless steel
1/4"" Dia. x 1-5/16"" Lg.","http://www.rpiparts.com/pimages/PHP019.GIF",""
"PHR001","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHR001","874-000007","#1 RUBBER ROLLER","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHR001
OEM Part #874-000007
#1 RUBBER ROLLER
1/4"" OD stainless steel shaft
Includes retaining clip (RPI Part #PHC015)
Fits: Developer, Fixer and Washer/Dryer Transport Module
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-702
Part Description Updated: 10/30/2000","1/4"" OD stainless steel shaft
Includes retaining clip (RPI Part #PHC015)","http://www.rpiparts.com/pimages/PHR001.GIF",""
"PHR002","http://www.rpiparts.com/PartPage.asp?equip=10&oem=21&model=132&rpinum=PHR002","874-010007","#2 RUBBER ROLLER","DENTAL FILM & X-RAY PROCESSORS
DENT-X® (PHILIPS)
810, 810 Basic & 9000 Developer Transport Module","RPI Part #PHR002
OEM Part #874-010007
#2 RUBBER ROLLER
1/4"" OD stainless steel shaft
Includes retaining clip (RPI Part #PHC015)
Fits: Developer, Fixer and Washer/Dryer Transport Module
Model(s) This Part Fits: 810, 810 Basic & 9000 Developer Transport Module, 810, 810 Basic & 9000 Fixer Transport Module, 810, 810 Basic & 9000 Washer/Dryer Transport Module
Catalog Page(s): 4-702
Part Description Updated: 11/24/2006","1/4"" OD stainless steel shaft
Includes retaining clip (RPI Part #PHC015)","http://www.rpiparts.com/pimages/PHR002.GIF",""
