"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection9","selection3_selection8","selection3_selection10"
"IEP039","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=398&rpinum=IEP039","49658","SPRING LOADED PLUNGER","CENTRIFUGES
IEC
Spinette","RPI Part #IEP039
OEM Part #49658
SPRING LOADED PLUNGER
Fits: Mounting holes in catch bracket
Model(s) This Part Fits: Spinette
Catalog Page(s): 3-901
Part Description Updated: 2/6/2000","http://www.rpiparts.com/pimages/IEP039.GIF","",""
"IEP046","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=398&rpinum=IEP046","46647","VENT PLATE","CENTRIFUGES
IEC
Spinette","RPI Part #IEP046
OEM Part #46647
VENT PLATE
18 gage perforated stainless steel
Includes hardware
Fits: Mounting studs in base plate
Model(s) This Part Fits: Spinette
Catalog Page(s): 3-901
Part Description Updated: 11/1/2006","http://www.rpiparts.com/pimages/IEP046.GIF","18 gage perforated stainless steel
Includes hardware",""
"IES045","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=398&rpinum=IES045","46611","ROCKER POWER SWITCH","CENTRIFUGES
IEC
Spinette","RPI Part #IES045
OEM Part #46611
ROCKER POWER SWITCH
SPST
115VAC, 16 AMP
Fits: Front panel cut-out
Model(s) This Part Fits: Spinette
Catalog Page(s): 3-901
Part Description Updated: 11/1/2006","http://www.rpiparts.com/pimages/IES045.GIF","SPST
115VAC, 16 AMP",""
"BAB005","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=32&rpinum=BAB005","002779","BRUSH","CENTRIFUGES
BAXTER
Biofuge 17","RPI Part #BAB005
OEM Part #002779
BRUSH
2 per package
Size: .252"" x .390"" x .866"" lg.
Radius: .94""
No spring
1.88"" copper shunt wire with 1/4"" female push-on connector
Fits: Brush Holder Assembly
Model(s) This Part Fits: Biofuge 17, Biofuge 17R
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB005.GIF","2 per package
Size: .252"" x .390"" x .866"" lg.
Radius: .94""
No spring
1.88"" copper shunt wire with 1/4"" female push-on connector",""
"BAB005","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=30&rpinum=BAB005","002779","BRUSH","CENTRIFUGES
BAXTER
Biofuge 17R","RPI Part #BAB005
OEM Part #002779
BRUSH
2 per package
Size: .252"" x .390"" x .866"" lg.
Radius: .94""
No spring
1.88"" copper shunt wire with 1/4"" female push-on connector
Fits: Brush Holder Assembly
Model(s) This Part Fits: Biofuge 17, Biofuge 17R
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB005.GIF","2 per package
Size: .252"" x .390"" x .866"" lg.
Radius: .94""
No spring
1.88"" copper shunt wire with 1/4"" female push-on connector",""
"BAB008","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=31&rpinum=BAB008","006914","BRUSH","CENTRIFUGES
BAXTER
Cryofuge 6000","RPI Part #BAB008
OEM Part #006914
BRUSH
2 per package
Size: .315"" x .787"" x .860"" lg.
No spring
3.88"" copper shunt wire with red top pad and sensor wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: Cryofuge 6000
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB008.GIF","2 per package
Size: .315"" x .787"" x .860"" lg.
No spring
3.88"" copper shunt wire with red top pad and sensor wire",""
"BAB004","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=29&rpinum=BAB004","001786","BRUSH","CENTRIFUGES
BAXTER
Haemofuge","RPI Part #BAB004
OEM Part #001786
BRUSH
2 per package
Size: .196"" x .236"" x .568"" lg.
Radius: .50""
Spring length: 1.03""
.925"" copper shunt wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: Haemofuge
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB004.GIF","2 per package
Size: .196"" x .236"" x .568"" lg.
Radius: .50""
Spring length: 1.03""
.925"" copper shunt wire",""
"BAB003","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=33&rpinum=BAB003","001754","BRUSH","CENTRIFUGES
BAXTER
Labofuge ""A""","RPI Part #BAB003
OEM Part #001754
BRUSH
2 per package
Size: .252"" x .315"" x .898"" lg.
Radius: .56""
Spring length: 1.88""
No shunt wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: Labofuge ""A""
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB003.GIF","2 per package
Size: .252"" x .315"" x .898"" lg.
Radius: .56""
Spring length: 1.88""
No shunt wire","Notes: 100 x L025 Timing Belt Effective belt length: 10""¥ Belt width: 1/4""¥ Grooves per inch: 5¥ Pitch (measured from center line of tooth to center line of next tooth: 0.200Fits: Dryer RackModels: P4, P6 & P10>"
"BAB002","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=34&rpinum=BAB002","001193","BRUSH","CENTRIFUGES
BAXTER
Medifuge","RPI Part #BAB002
OEM Part #001193
BRUSH
2 per package
Size: .196"" x .236"" x .469"" lg.
Radius: .56""
Spring length: 1.19""
No shunt wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: Medifuge
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB002.GIF","2 per package
Size: .196"" x .236"" x .469"" lg.
Radius: .56""
Spring length: 1.19""
No shunt wire",""
"BAB001","http://www.rpiparts.com/PartPage.asp?equip=6&oem=6&model=28&rpinum=BAB001","002790 / 004936","BRUSH","CENTRIFUGES
BAXTER
Megafuge","RPI Part #BAB001
OEM Part #002790 / 004936
BRUSH
2 per package
Size: .252"" x .390"" x .866"" lg.
Radius: .937""
No spring
1.610"" copper shunt wire with 1/4"" female push-on connector
Fits: Brush Holder Assembly
Model(s) This Part Fits: Megafuge
Catalog Page(s): 3-200, 13-100
Part Description Updated: 10/23/2015","http://www.rpiparts.com/pimages/BAB001.GIF","2 per package
Size: .252"" x .390"" x .866"" lg.
Radius: .937""
No spring
1.610"" copper shunt wire with 1/4"" female push-on connector",""
